timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168488.307,-19.531,34.180,0.000,17.090,-18.555
1711168488.311,39.551,26.855,0.000,11.719,-18.066
1711168488.315,51.270,23.926,0.000,27.344,-27.344
1711168488.319,4.883,28.809,0.000,32.227,5.371
1711168488.323,-13.672,32.227,0.000,31.738,4.395
1711168488.327,21.973,32.227,0.000,23.438,7.324
1711168488.331,61.035,33.691,0.000,13.672,33.691
1711168488.335,43.457,29.297,0.000,20.508,54.688
1711168488.339,4.883,25.391,0.000,31.250,72.266
1711168488.343,28.809,27.344,0.000,26.367,53.223
1711168488.346,76.660,26.855,0.000,20.508,-20.996
1711168488.350,55.664,29.785,0.000,20.508,-3.418
1711168488.354,38.086,30.273,20.996,0.000,-1.953
1711168488.358,10.742,30.762,20.996,0.000,34.180
1711168488.362,27.832,28.320,19.531,0.000,68.359
1711168488.366,68.359,29.785,20.996,0.000,41.504
1711168488.370,63.477,37.109,20.508,0.000,63.965
1711168488.374,19.531,37.109,20.508,0.000,55.176
1711168488.378,19.531,33.691,20.996,0.000,81.055
1711168488.382,56.152,40.527,22.949,0.000,34.180
1711168488.385,72.266,40.039,19.043,0.000,-23.438
1711168488.389,32.715,32.227,16.113,0.000,16.602
1711168488.393,15.137,33.203,20.020,0.000,31.250
1711168488.397,59.082,32.227,22.949,0.000,-7.812
1711168488.401,84.961,32.227,19.531,12.695,-33.203
1711168488.405,40.039,33.691,17.578,34.180,78.125
1711168488.409,3.418,34.668,16.113,31.250,111.816
1711168488.413,32.227,29.785,16.602,26.367,10.742
1711168488.417,72.754,24.414,18.066,32.227,12.695
1711168488.421,40.527,25.391,17.578,32.715,38.086
1711168488.425,-18.555,28.320,20.020,39.551,45.898
1711168488.428,5.371,32.227,20.508,28.809,-12.207
1711168488.432,45.410,36.621,20.020,23.926,2.930
1711168488.436,35.645,32.227,20.508,32.715,65.430
1711168488.440,1.953,26.855,19.531,25.879,22.949
1711168488.444,3.906,22.949,20.020,3.906,70.801
1711168488.448,0.000,31.738,18.066,-0.977,52.734
1711168488.452,0.000,36.133,16.113,14.648,3.418
1711168488.456,0.000,28.809,19.531,17.578,-9.766
1711168488.460,0.000,30.273,21.484,26.855,13.672
1711168488.464,0.000,30.273,20.996,25.879,39.062
1711168488.468,0.000,30.762,22.949,11.719,-7.812
1711168488.471,0.000,33.203,21.973,8.789,0.488
1711168488.475,0.000,33.691,19.531,16.113,32.715
1711168488.479,0.000,35.156,20.996,17.578,23.926
1711168488.483,0.000,34.180,21.484,16.113,57.129
1711168488.487,0.000,32.715,18.066,25.879,69.824
1711168488.491,0.000,28.809,18.555,24.902,56.641
1711168488.495,-12.207,28.320,0.000,24.414,61.523
1711168488.499,36.133,28.809,0.000,30.762,38.086
1711168488.503,28.320,25.879,0.000,28.809,7.812
1711168488.507,-25.879,27.344,0.000,26.855,29.785
1711168488.511,-30.762,28.320,0.000,34.180,52.246
1711168488.514,22.949,28.809,0.000,28.809,36.621
1711168488.518,36.133,31.250,0.000,28.809,41.016
1711168488.522,-0.488,32.227,0.000,27.832,19.531
1711168488.526,-2.441,29.785,0.000,21.484,28.320
1711168488.530,15.137,36.621,0.000,5.371,-14.160
1711168488.534,28.809,38.086,0.000,2.441,13.672
1711168488.538,1.465,37.598,0.000,0.488,70.312
1711168488.542,0.000,37.598,21.973,1.465,-10.742
1711168488.546,0.000,33.691,20.508,12.695,46.387
1711168488.550,0.000,37.598,19.531,12.207,62.988
1711168488.554,0.000,36.621,18.066,10.742,30.762
1711168488.557,0.000,32.227,15.625,7.324,87.891
1711168488.561,0.000,29.297,16.602,13.672,32.715
1711168488.565,0.000,29.785,17.090,15.137,66.406
1711168488.569,0.000,30.273,17.578,3.418,83.496
1711168488.573,0.000,30.762,18.555,12.695,65.430
1711168488.577,0.000,30.762,14.648,21.973,37.109
1711168488.581,0.000,28.809,14.648,18.066,62.012
1711168488.585,0.000,25.879,19.531,13.184,50.781
1711168488.589,-17.578,23.438,22.949,16.602,-2.930
1711168488.593,-43.457,24.414,23.438,30.273,27.832
1711168488.597,7.812,27.344,23.438,31.250,70.801
1711168488.600,42.480,26.855,22.949,27.832,53.711
1711168488.604,6.836,31.738,20.020,25.391,63.965
1711168488.608,-31.250,28.809,19.531,24.902,41.992
1711168488.612,0.488,24.414,20.508,22.949,-8.789
1711168488.616,52.734,30.762,21.973,22.461,-2.441
1711168488.620,33.691,39.062,22.461,14.160,4.395
1711168488.624,-16.602,36.621,20.020,12.207,50.293
1711168488.628,-6.348,34.668,21.973,9.766,28.320
1711168488.632,38.574,34.180,21.973,12.695,46.875
1711168488.636,0.000,29.297,0.000,11.230,56.152
1711168488.640,0.000,30.762,0.000,3.906,11.719
1711168488.643,0.000,30.762,0.000,4.883,26.367
1711168488.647,0.000,32.715,0.000,1.953,9.277
1711168488.651,0.000,32.715,0.000,9.277,39.551
1711168488.655,0.000,31.250,0.000,14.160,41.992
1711168488.659,0.000,29.785,0.000,27.832,7.324
1711168488.663,0.000,30.273,0.000,31.738,-12.207
1711168488.667,0.000,30.273,0.000,10.742,0.488
1711168488.671,0.000,31.738,0.000,9.766,20.020
1711168488.675,0.000,30.273,0.000,26.367,-7.324
1711168488.679,0.000,30.762,0.000,32.715,9.277
1711168488.682,29.297,29.297,21.484,27.832,30.762
1711168488.686,24.414,29.297,22.461,27.344,10.742
1711168488.690,-26.367,27.344,22.461,31.250,32.715
1711168488.694,-25.391,24.414,22.461,37.598,13.184
1711168488.698,37.598,33.691,23.438,41.504,9.766
1711168488.702,43.457,32.715,27.832,42.480,40.527
1711168488.706,0.000,30.762,29.297,40.039,13.672
1711168488.710,-7.324,32.715,28.320,26.855,-10.254
1711168488.714,23.438,27.344,28.320,19.531,26.855
1711168488.718,45.898,31.250,25.879,20.020,48.828
1711168488.721,14.160,35.156,26.855,19.531,15.137
1711168488.725,-9.277,33.691,25.879,15.137,41.016
1711168488.729,15.137,37.109,17.090,0.000,52.734
1711168488.733,48.828,33.203,17.578,0.000,-9.766
1711168488.737,36.133,30.273,20.020,0.000,41.016
1711168488.741,-13.184,28.809,20.508,0.000,47.852
1711168488.745,12.207,30.762,19.531,0.000,53.223
1711168488.749,75.684,34.180,19.531,0.000,71.777
1711168488.753,61.035,32.227,18.066,0.000,15.625
1711168488.757,8.301,30.273,18.555,0.000,66.895
1711168488.761,12.207,30.273,17.090,0.000,62.012
1711168488.764,54.688,26.855,17.090,0.000,62.012
1711168488.768,61.523,24.414,17.578,0.000,46.875
1711168488.772,29.297,20.508,20.020,0.000,14.648
1711168488.776,4.883,21.973,19.043,22.461,39.551
1711168488.780,26.855,24.414,16.602,20.996,93.262
1711168488.784,54.199,24.902,17.578,28.320,85.938
1711168488.788,-0.488,19.043,18.066,25.391,-9.277
1711168488.792,-39.062,23.438,13.184,24.414,34.180
1711168488.796,0.488,26.855,12.207,27.344,49.805
1711168488.800,46.387,16.113,16.602,30.273,41.504
1711168488.804,40.039,19.043,17.090,24.902,48.828
1711168488.807,0.000,19.531,17.090,15.137,71.777
1711168488.811,12.207,18.555,17.578,12.695,65.430
1711168488.815,63.965,28.320,20.020,15.137,12.207
1711168488.819,68.848,28.809,22.461,2.441,62.988
1711168488.823,0.000,27.344,24.414,7.812,29.297
1711168488.827,0.000,28.320,22.949,12.207,-36.133
1711168488.831,0.000,23.438,21.484,-0.488,-22.949
1711168488.835,0.000,25.391,26.367,9.766,20.508
1711168488.839,0.000,26.855,27.344,21.484,58.105
1711168488.843,0.000,24.414,25.879,19.043,14.160
1711168488.847,0.000,26.855,25.391,13.672,-7.812
1711168488.850,0.000,28.320,26.367,9.766,-15.625
1711168488.854,0.000,37.598,27.832,9.766,3.418
1711168488.858,0.000,37.109,29.297,22.461,66.895
1711168488.862,0.000,26.855,32.715,33.203,58.105
1711168488.866,0.000,31.250,32.227,30.762,28.809
1711168488.870,44.434,32.715,0.000,22.461,77.637
1711168488.874,-2.930,31.250,0.000,23.926,23.438
1711168488.878,9.766,29.297,0.000,32.715,6.348
1711168488.882,50.293,27.344,0.000,34.180,28.809
1711168488.886,60.547,34.180,0.000,28.320,6.348
1711168488.890,7.812,36.621,0.000,33.203,75.684
1711168488.893,-13.672,30.273,0.000,43.457,89.844
1711168488.897,51.270,33.691,0.000,36.621,30.762
1711168488.901,76.660,36.133,0.000,26.855,27.832
1711168488.905,22.949,36.133,0.000,23.926,23.926
1711168488.909,6.836,36.621,0.000,15.625,48.340
1711168488.913,40.527,35.156,0.000,10.254,62.500
1711168488.917,64.941,33.691,28.320,0.000,15.625
1711168488.921,52.246,32.715,27.832,0.000,-21.973
1711168488.925,20.508,33.203,25.391,0.000,1.465
1711168488.929,40.039,37.109,26.367,0.000,44.922
1711168488.933,80.078,38.574,25.879,0.000,39.062
1711168488.936,76.660,35.156,24.414,0.000,21.484
1711168488.940,25.391,36.133,26.855,0.000,17.578
1711168488.944,14.160,34.668,29.785,0.000,37.109
1711168488.948,63.965,34.668,32.227,0.000,41.504
1711168488.952,69.336,31.250,33.691,0.000,-18.066
1711168488.956,33.203,29.785,34.180,0.000,-7.812
1711168488.960,5.371,33.691,35.645,0.000,40.039
1711168488.964,40.527,36.621,31.250,34.668,27.344
1711168488.968,82.031,37.109,28.809,28.809,17.090
1711168488.972,35.156,39.062,29.785,39.062,-0.977
1711168488.976,7.324,37.109,30.273,34.668,-21.484
1711168488.979,41.992,32.715,29.297,19.531,4.395
1711168488.983,74.707,35.156,26.855,13.672,11.719
1711168488.987,48.828,38.086,25.879,11.719,31.738
1711168488.991,1.953,38.574,26.367,15.625,45.898
1711168488.995,9.277,41.016,27.344,19.531,-23.926
1711168488.999,59.570,41.992,28.320,17.578,-20.996
1711168489.003,56.641,40.527,26.367,17.090,23.926
1711168489.007,-4.395,40.039,25.879,29.785,31.250
1711168489.011,-5.371,41.016,21.973,25.391,29.297
1711168489.015,56.641,31.738,21.484,9.766,54.688
1711168489.019,67.383,26.367,23.926,11.230,2.441
1711168489.022,9.766,28.809,23.926,26.367,1.953
1711168489.026,-11.230,27.832,21.973,29.297,36.133
1711168489.030,34.668,29.785,20.020,13.184,14.648
1711168489.034,60.547,32.227,19.531,6.348,71.289
1711168489.038,27.832,28.320,20.020,15.625,65.918
1711168489.042,-15.137,24.414,22.461,21.484,31.738
1711168489.046,5.371,24.414,20.996,18.066,53.711
1711168489.050,54.199,23.926,21.484,27.832,71.289
1711168489.054,22.461,23.926,24.902,31.250,94.238
1711168489.058,-28.320,24.414,23.438,36.133,0.000
1711168489.062,0.977,23.438,23.926,26.855,0.000
1711168489.065,56.152,26.367,27.832,15.137,0.000
1711168489.069,51.758,28.320,24.414,20.996,0.000
1711168489.073,1.953,26.855,23.926,21.484,0.000
1711168489.077,-17.578,30.273,24.414,10.254,0.000
1711168489.081,13.672,31.250,21.973,12.695,0.000
1711168489.085,34.180,24.902,27.344,23.926,0.000
1711168489.089,-0.488,24.902,27.344,13.672,0.000
1711168489.093,-24.414,27.344,22.949,9.766,0.000
1711168489.097,14.648,26.367,24.414,14.648,0.000
1711168489.101,62.988,22.461,25.391,16.602,0.000
1711168489.105,25.879,25.391,27.344,19.531,25.879
1711168489.108,-17.578,20.996,28.320,31.738,82.520
1711168489.112,13.184,22.461,24.414,29.785,65.918
1711168489.116,49.805,28.320,20.020,14.648,-12.695
1711168489.120,32.227,26.855,21.973,14.648,42.969
1711168489.124,-13.184,23.926,24.414,24.902,72.266
