timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168445.984,-181.641,-13.672,20.020,40.039,-15.625
1711168445.988,-158.691,-13.672,23.438,37.109,16.113
1711168445.992,-178.223,-11.719,23.438,45.898,82.520
1711168445.996,-223.633,-7.812,23.438,59.082,80.078
1711168446.000,-220.215,-2.930,26.855,45.898,51.270
1711168446.004,-208.984,-1.953,30.762,39.551,53.711
1711168446.007,-249.512,-5.371,34.668,53.711,92.285
1711168446.011,-308.105,-2.930,32.715,60.059,49.316
1711168446.015,-332.520,-9.277,25.391,65.430,72.266
1711168446.019,-337.402,-19.043,20.508,68.848,118.164
1711168446.023,-348.633,-20.020,16.113,29.785,124.023
1711168446.027,-401.367,-18.555,12.695,30.273,85.938
1711168446.031,-437.012,-21.484,11.230,50.781,42.480
1711168446.035,-391.602,-20.996,8.789,39.062,60.547
1711168446.039,-361.816,-17.090,6.348,30.273,18.066
1711168446.043,-422.363,-3.418,9.766,33.203,-24.902
1711168446.047,-461.426,-33.691,13.184,37.109,-8.789
1711168446.050,-418.457,-128.418,13.672,35.645,39.062
1711168446.054,-398.438,-167.969,14.160,41.016,40.039
1711168446.058,-474.121,-170.898,16.602,49.805,-17.578
1711168446.062,-556.641,-171.387,15.625,38.574,4.883
1711168446.066,-521.973,-154.785,17.578,33.203,-4.395
1711168446.070,-473.145,-146.484,19.531,26.367,9.277
1711168446.074,0.000,-138.672,22.461,36.133,33.691
1711168446.078,0.000,-123.047,25.391,51.270,9.277
1711168446.082,0.000,-118.164,21.973,50.781,14.160
1711168446.086,0.000,-120.605,21.484,63.477,15.625
1711168446.090,0.000,-123.535,20.020,44.922,7.324
1711168446.093,0.000,-122.559,20.508,47.852,11.719
1711168446.097,0.000,-115.234,26.855,66.406,2.930
1711168446.101,0.000,-106.934,21.973,36.133,-14.160
1711168446.105,0.000,-107.910,12.695,19.043,1.953
1711168446.109,0.000,-104.980,9.766,13.184,5.859
1711168446.113,0.000,-94.238,7.324,42.969,0.000
1711168446.117,0.000,-88.867,8.789,64.941,51.270
1711168446.121,-574.219,-81.543,17.578,49.805,87.402
1711168446.125,-597.168,-73.730,18.555,30.273,-8.789
1711168446.129,-638.184,-68.359,16.113,22.949,-0.488
1711168446.132,-643.555,-63.965,16.113,21.973,64.941
1711168446.136,-632.324,-65.430,14.648,19.043,61.523
1711168446.140,-657.715,-62.988,15.625,13.672,-1.465
1711168446.144,-831.543,-54.688,19.531,25.879,-32.715
1711168446.148,-972.168,-51.758,20.508,49.316,-20.996
1711168446.152,-965.820,-51.270,22.461,44.434,-11.230
1711168446.156,-966.797,-44.434,25.879,16.602,26.855
1711168446.160,-962.402,-43.457,27.832,26.855,3.418
1711168446.164,-979.004,-43.945,29.297,43.945,-26.367
1711168446.168,0.000,-45.410,0.000,31.738,-0.977
1711168446.172,0.000,-46.387,0.000,33.203,58.594
1711168446.175,0.000,-44.434,0.000,34.180,47.363
1711168446.179,0.000,-43.945,0.000,65.430,-17.578
1711168446.183,0.000,-43.945,0.000,63.965,28.809
