timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168904.957,54.688,23.438,12.695,27.832,37.598
1711168904.961,24.414,25.391,12.695,26.367,86.426
1711168904.965,-6.348,24.902,14.648,30.273,43.457
1711168904.969,19.531,26.855,17.090,39.062,40.039
1711168904.973,53.711,26.855,20.508,35.645,52.734
1711168904.977,34.668,24.902,20.996,28.809,23.926
1711168904.981,-3.418,25.879,20.996,24.902,25.391
1711168904.985,7.812,23.926,20.996,22.461,33.203
1711168904.989,56.152,24.902,20.508,30.762,-14.160
1711168904.993,49.805,28.320,19.531,25.879,-1.953
1711168904.996,9.277,28.320,19.531,17.578,56.152
1711168905.000,8.301,26.367,20.020,20.996,61.523
1711168905.004,0.000,26.367,19.043,25.391,55.664
1711168905.008,0.000,27.832,22.461,32.227,26.367
1711168905.012,0.000,30.273,24.414,34.180,36.133
1711168905.016,0.000,28.809,20.508,27.832,36.621
1711168905.020,0.000,27.832,19.531,29.297,-41.504
1711168905.024,0.000,29.297,20.508,30.273,-45.898
1711168905.028,0.000,25.391,20.508,22.461,25.879
1711168905.032,0.000,24.902,20.508,20.996,60.059
1711168905.036,0.000,27.832,21.973,25.391,50.781
1711168905.039,0.000,27.832,23.926,28.320,-0.488
1711168905.043,0.000,27.344,23.438,27.832,33.203
1711168905.047,0.000,26.855,22.461,23.438,65.918
1711168905.051,-0.488,26.855,24.902,24.414,24.414
1711168905.055,43.945,25.879,26.367,30.273,54.199
1711168905.059,47.363,23.438,23.926,29.297,10.254
1711168905.063,9.277,23.438,24.414,24.902,-7.812
1711168905.067,2.441,24.414,27.832,25.391,24.902
1711168905.071,36.133,26.855,28.809,31.250,-32.715
1711168905.075,51.270,30.273,25.879,35.645,3.906
1711168905.079,27.344,30.762,26.367,30.762,0.977
1711168905.082,2.441,27.344,25.391,21.973,8.301
1711168905.086,27.832,25.879,23.926,26.855,64.453
1711168905.090,61.035,30.273,23.926,33.203,60.059
1711168905.094,40.527,28.320,23.926,31.738,63.965
1711168905.098,1.465,23.438,22.461,28.320,36.621
1711168905.102,15.625,24.414,22.949,30.762,18.555
1711168905.106,55.176,27.832,27.832,37.598,6.836
1711168905.110,39.062,27.832,27.344,28.320,10.254
1711168905.114,-0.977,23.926,23.926,22.461,19.043
1711168905.118,6.348,25.879,20.996,19.531,24.902
1711168905.122,50.293,26.367,19.531,22.949,14.160
1711168905.126,60.059,25.391,20.508,31.250,14.648
1711168905.129,10.742,26.855,21.484,22.949,26.367
1711168905.133,-8.789,26.855,19.531,17.090,36.133
1711168905.137,29.297,26.855,17.578,20.020,58.594
1711168905.141,52.246,25.879,19.043,20.996,19.043
1711168905.145,0.000,28.320,0.000,21.484,-22.949
1711168905.149,0.000,26.855,0.000,20.020,-4.395
1711168905.153,0.000,22.461,0.000,19.043,7.812
1711168905.157,0.000,22.949,0.000,27.832,17.090
1711168905.161,0.000,24.414,0.000,24.902,44.922
1711168905.165,0.000,21.973,0.000,20.996,35.645
1711168905.169,0.000,22.461,0.000,26.855,2.930
1711168905.173,0.000,24.414,0.000,27.832,83.008
1711168905.177,0.000,25.391,0.000,30.762,126.465
1711168905.180,0.000,23.926,0.000,27.832,44.434
1711168905.184,0.000,23.926,0.000,24.902,11.719
1711168905.188,0.000,22.949,0.000,30.273,10.254
1711168905.192,52.246,21.973,30.762,29.785,20.020
